label,rep,idx,t_ms,ax,ay,az,gx,gy,gz
2,1,0,0,0.139734,-0.090414,-1.143405,-14.899961,31.465939,-9.373945
2,1,1,21,0.178309,-0.080160,-1.150729,-23.274961,61.590939,-12.873945
2,1,2,41,0.178309,-0.034750,-1.032077,-25.024961,74.715935,-10.311445
2,1,3,61,0.202234,-0.075765,-1.162936,-14.962461,81.028435,-15.123945
2,1,4,81,0.299891,-0.003011,-1.322604,9.912539,111.028435,-19.873945
2,1,5,101,0.438563,0.177653,-1.432468,66.850037,127.278435,-8.811445
2,1,6,121,0.349695,0.019449,-1.566257,79.287537,140.778442,4.813555
2,1,7,141,0.489832,-0.192465,-1.557956,9.037539,180.090942,-10.373945
2,1,8,161,0.607996,-0.207601,-1.585788,-46.087460,201.840942,-35.686447
2,1,9,181,0.449305,0.063883,-1.385104,-37.712460,229.403442,-29.373945
2,1,10,201,0.441492,0.184000,-1.102390,2.537539,229.903442,1.876055
2,1,11,221,0.520594,0.093180,-0.882175,27.100039,208.715942,11.313555
2,1,12,241,0.644617,-0.021078,-0.790866,30.475039,189.528442,9.188555
2,1,13,261,0.692957,-0.116293,-0.769382,29.850039,166.840942,1.688555
2,1,14,281,0.714442,-0.137777,-0.812351,12.787539,140.465942,-19.498945
2,1,15,301,0.665613,-0.008383,-0.764011,-6.399961,142.028442,-24.498945
2,1,16,321,0.643641,0.066813,-0.597507,-15.337461,143.778442,-14.936445
2,1,17,341,0.696863,0.024821,-0.539401,-8.274961,129.090942,-8.686445
2,1,18,361,0.749110,-0.010336,-0.561862,-1.774961,122.090935,-6.748945
2,1,19,381,0.773035,0.012125,-0.556491,6.975039,131.278442,-7.498945
2,1,20,401,0.798914,0.015055,-0.525241,17.037539,138.403442,-1.248945
2,1,21,421,0.818445,0.038492,-0.424167,17.162539,148.340942,2.251055
2,1,22,441,0.883875,0.029215,-0.321628,6.850039,146.590942,4.126055
2,1,23,461,0.864344,0.015055,-0.208835,0.787539,148.403442,7.563555
2,1,24,481,0.835535,-0.012777,-0.087253,1.850039,149.903442,6.001055
2,1,25,501,0.895594,0.002848,0.097317,-0.399961,144.528442,1.501055
2,1,26,521,0.932215,0.030192,0.262357,0.975039,126.028435,-3.498945
2,1,27,541,0.911707,0.065836,0.339017,-3.212461,102.215935,-5.873945
2,1,28,561,0.916102,0.090250,0.361966,-6.274961,76.090935,4.876055
2,1,29,581,0.929774,0.046793,0.306302,-1.212461,56.403439,17.501055
2,1,30,601,0.915125,-0.002035,0.237942,8.350039,45.465939,24.688555
2,1,31,621,0.897059,-0.066488,0.167630,8.725039,41.590939,24.626055
2,1,32,641,0.841883,-0.105062,0.152982,1.350039,47.778439,19.626055
2,1,33,661,0.795985,-0.117269,0.195950,-8.962461,44.028439,11.938555
2,1,34,681,0.777918,-0.133383,0.220853,-16.899961,28.903439,4.438555
2,1,35,701,0.754969,-0.112386,0.223782,-13.024961,15.965938,2.876055
2,1,36,721,0.789149,-0.129965,0.169095,-5.149961,5.715938,2.688555
2,1,37,741,0.810145,-0.150961,0.117337,-0.837461,-0.659062,-2.186445
2,1,38,761,0.828211,-0.148519,0.079251,-4.962461,-8.159062,-6.936445
2,1,39,781,0.870692,-0.142172,0.067532,-3.149961,-11.471562,-14.311445
2,1,40,801,0.902918,-0.127523,0.071439,-2.087461,-13.909062,-22.623945
2,1,41,821,0.926844,-0.077230,0.096829,1.037539,-14.534062,-26.561445
2,1,42,841,0.968836,-0.053304,0.109036,5.975039,-17.284061,-22.998945
2,1,43,861,1.035731,-0.087484,0.078763,15.912539,-24.534061,-20.311445
2,1,44,881,1.084559,-0.140218,-0.014011,31.787539,-32.221561,-17.498945
2,1,45,901,1.142664,-0.202230,-0.133640,58.725040,-33.596561,-11.623945
2,1,46,921,1.214930,-0.281332,-0.264987,91.725037,-27.721561,-7.998945
2,1,47,941,1.234461,-0.313070,-0.403171,105.412537,-26.909061,-19.061445
2,1,48,961,1.251551,-0.252523,-0.579440,93.537537,-31.596561,-33.873947
2,1,49,981,1.243250,-0.102621,-0.731296,105.037537,-15.034062,-40.686447
2,1,50,1001,1.216395,0.077067,-0.796237,148.475037,33.590939,-36.123947
2,1,51,1021,1.142176,0.254801,-0.711276,164.162537,104.465935,-27.748945
2,1,52,1041,0.966395,0.395426,-0.388522,140.725037,149.278442,-21.936445
2,1,53,1061,0.851649,0.466227,-0.299655,96.350037,149.528442,-19.873945
2,1,54,1081,0.807703,0.516032,-0.178073,26.725039,144.903442,-20.998945
2,1,55,1101,0.755457,0.549723,-0.083835,-38.024960,152.153442,-18.561445
2,1,56,1121,0.675379,0.509196,0.142239,-58.524960,169.840942,-10.498945
2,1,57,1141,0.622156,0.422770,0.492825,-41.774960,168.153442,2.126055
2,1,58,1161,0.643641,0.312418,0.739407,-63.149960,131.153442,10.063555
2,1,59,1181,0.729090,0.182535,0.703763,-105.774963,93.653435,11.563555
2,1,60,1201,0.751551,0.079508,0.746243,-115.587463,89.028435,2.126055
2,1,61,1221,0.753992,-0.022543,0.915677,-140.774963,76.840935,-14.186445
2,1,62,1241,0.740809,-0.093344,1.110013,-143.212463,57.340939,-27.748945
2,1,63,1261,0.702235,-0.142660,1.252591,-101.837463,35.528439,-28.936445
2,1,64,1281,0.670496,-0.167074,1.261380,-62.212460,4.528438,-25.561445
2,1,65,1301,0.691004,-0.198324,1.097806,-47.587460,-25.784061,-25.186445
2,1,66,1321,0.703211,-0.217855,0.971829,-54.712460,-47.471561,-32.561447
2,1,67,1341,0.719324,-0.179281,0.904935,-66.462463,-64.659065,-40.623947
2,1,68,1361,0.751063,-0.137777,0.836575,-82.837463,-84.534065,-51.186447
2,1,69,1381,0.730067,-0.002523,0.754544,-99.149963,-106.409065,-57.373947
2,1,70,1401,0.717860,0.162028,0.665677,-93.212463,-121.096565,-42.811447
2,1,71,1421,0.753504,0.218668,0.566067,-73.712463,-126.159065,-13.686445
2,1,72,1441,0.769617,0.159098,0.445950,-54.462460,-126.596565,10.126055
2,1,73,1461,0.760828,0.077555,0.344876,-28.962461,-121.596565,32.501053
2,1,74,1481,0.759363,-0.028890,0.242825,-3.649961,-110.909065,50.813553
