label,rep,idx,t_ms,ax,ay,az,gx,gy,gz
2,1,0,0,0.481448,0.019683,-0.973923,68.388474,-35.731407,-53.788048
2,1,1,21,0.357424,0.296050,-1.162399,26.825977,-12.606406,-39.475548
2,1,2,41,0.536135,0.604156,-1.115524,-12.049024,-21.168907,-13.413047
2,1,3,61,0.644045,1.233062,-1.496872,-16.861523,-24.668907,33.399452
2,1,4,81,0.722659,1.286773,-1.668747,-56.611523,41.643593,88.086952
2,1,5,101,0.696780,1.014312,-1.420700,-70.424026,64.706093,129.211960
2,1,6,121,0.635745,0.719390,-1.150681,-60.549023,73.206093,151.836960
2,1,7,141,0.608889,0.537261,-1.152634,-43.674023,92.206093,158.149460
2,1,8,161,0.553225,0.519195,-1.137009,-43.361523,120.956093,192.836960
2,1,9,181,0.516604,0.596343,-0.829880,-33.611523,140.956100,238.586960
2,1,10,201,0.424807,0.432769,-0.468063,-38.486523,125.206093,300.211945
2,1,11,221,0.247561,0.012359,-0.262497,15.950976,94.018593,337.149445
2,1,12,241,0.052249,-0.315278,-0.198532,22.013477,79.018593,374.399445
2,1,13,261,-0.081052,-0.895356,0.025589,-59.361523,80.706093,391.086945
2,1,14,281,-0.097166,-1.525239,0.221390,-120.174026,62.456093,363.524445
2,1,15,301,-0.064939,-1.892914,0.265823,-142.549026,12.518594,263.086945
2,1,16,321,0.139163,-2.033539,0.427933,-94.799026,-41.606407,161.586960
2,1,17,341,0.210940,-1.959809,0.262894,6.450976,-108.043907,129.336960
2,1,18,361,0.135256,-2.047699,-0.313278,7.325976,-165.356400,104.399452
2,1,19,381,0.152346,-2.083344,-0.669235,-34.861523,-169.606400,67.524452
2,1,20,401,0.187502,-2.041352,-0.947067,-76.111526,-173.981400,37.086952
2,1,21,421,0.211917,-2.064789,-1.271286,-92.549026,-175.918900,-2.663047
2,1,22,441,0.254885,-2.090180,-1.611130,-95.424026,-180.793900,-42.288048
2,1,23,461,0.257815,-2.008149,-2.004684,-66.924026,-159.231400,-88.100548
2,1,24,481,0.259768,-1.764496,-2.364059,-67.611526,-100.543907,-131.850540
2,1,25,501,0.306155,-1.402680,-2.531540,-70.111526,-20.793907,-183.788040
2,1,26,521,0.382815,-0.868012,-2.441696,-42.174023,61.081093,-221.475540
2,1,27,541,0.497073,0.015289,-2.093063,-16.924023,90.518593,-219.600540
2,1,28,561,0.688479,0.773101,-1.520309,-3.424023,105.018593,-176.788040
2,1,29,581,0.897463,1.029449,-1.206833,82.825974,101.768593,-115.038048
2,1,30,601,0.933108,1.240875,-1.298141,150.763474,119.018593,-53.600548
2,1,31,621,0.974124,1.034332,-0.907028,147.513474,163.956100,26.211952
2,1,32,641,0.922854,0.472808,-0.420700,135.138474,179.706100,89.961952
2,1,33,661,0.863772,-0.005219,0.004593,45.075977,175.393600,128.086960
2,1,34,681,0.908206,-0.424653,0.360550,-87.111526,155.643600,155.024460
2,1,35,701,1.016604,-0.853364,0.640823,-50.486523,98.393593,163.024460
2,1,36,721,0.958499,-0.924653,0.524124,25.825977,36.768593,159.649460
2,1,37,741,0.891604,-1.212250,0.411819,41.763477,-0.543906,163.711960
2,1,38,761,0.770510,-1.611664,0.192581,45.138477,-40.356407,138.024460
2,1,39,781,0.718264,-1.892426,-0.082809,5.200976,-59.606407,84.961952
2,1,40,801,0.704104,-1.820649,-0.346970,-35.361523,-68.418907,27.586952
2,1,41,821,0.741702,-1.668305,-0.608200,-67.924026,-72.043907,3.836953
2,1,42,841,0.734866,-1.630219,-0.783981,-92.111526,-69.043907,-7.288047
2,1,43,861,0.743655,-1.554047,-0.946091,-98.861526,-61.168907,-19.538048
2,1,44,881,0.774417,-1.490082,-1.061325,-97.049026,-57.106407,-36.288048
2,1,45,901,0.811038,-1.404145,-1.119919,-81.736526,-52.231407,-57.288048
2,1,46,921,0.845706,-1.236176,-1.114548,-68.361526,-48.793907,-80.413048
